"","P","Alder","B.Ar","EL.Kar","O.Karak","BLEnergikWh","MatValg","Oms.Typ","BolType","AntEiendom","EiendomAreal","VannkantGL","VegkantGL","RegLBE","RegGrunnforur","RegKulturEiendom","RegGrunnerverv","RegBoDrivePlikt","TotBoliger","BRA.Bolig","BRA.Annet","BRA.Tot","BebygdAreal","RegKulturByg","Etasje","Lopenr","Bruksareal.Enhet","AntallRom","AntallBad","AntallWC","PrivatEid","HarHeis","EtasjeSeksjon","Kjokken","VannKode","Vannforsyning","AvlopsKode","Avlop","DokumentAr","YearQuarter","DokumentDato","Matrikkel","Knr","Gnr","Bnr","Snr","Bygningsnummer","GateAdresse","EiendomAdressegatenavn","EiendomAdressehusnr","EiendomAdressebokstav","BruksEnhetsNummer","Postnummer","Bygningskategori","Dokumentnr","Bygningstype","Anvendelse","Naeringsgruppe","EiendomNordSor","EiendomOstVest"
"2886",2725000,9,2011,6,"Orange",109.48,"Betong","Fritt salg","Blokkleilighet",1,"8981.6",1,0,0,0,0,0,0,8,"890.0","0.0","890.0","190.0",0,1,1,"71.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-21,"4601/10/834/12","4601","10","834","12",300122431,"Nye Sædalsveien 102 B","nye sædalsveien",102,"B","H0101","5099","Boligblokker",2140613,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728025.35","-29935.35"
"2887",2800000,9,2011,6,"Orange",109.48,"Betong","Fritt salg","Blokkleilighet",1,"8981.6",1,0,0,0,0,0,0,8,"890.0","0.0","890.0","190.0",0,1,1,"71.0",3,1,1,0,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q4",2020-10-02,"4601/10/834/13","4601","10","834","13",300122431,"Nye Sædalsveien 102 B","nye sædalsveien",102,"A","H0101","5099","Boligblokker",3117393,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6728025.35","-29935.35"
"2889",3950000,34,1986,3,"Yellow",203.09,"Tre","Fritt salg","Frittliggende enebolig",1,"1283.1",0,0,0,0,0,0,0,1,"169.0","0.0","169.0","0.0",0,1,1,"169.0",5,1,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-03-20,"4626/43/599/NA","4626","43","599","NA",9802266,"Nygårdsvegen 13","nygårdsvegen",13,NA,"H0101","5350","Småhus",2254560,"Enebolig","Bolig","Bolig","6731230.42","-41774.24"
"2896",3650000,10,2010,3,"Green",170.78,"Tre","Fritt salg","Blokkleilighet",1,"11496.2",1,0,0,0,0,0,0,8,"716.0","0.0","716.0","687.0",0,1,1,"84.0",3,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-14,"4601/119/625/1","4601","119","625","1",25603176,"Råvarden 197","råvarden",197,NA,"H0101","5239","Boligblokker",2325116,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6722625.17","-33836.59"
"2898",3775000,10,2010,3,"Green",170.78,"Tre","Fritt salg","Rekkehus/kjede",1,"11496.2",1,0,0,0,0,0,0,8,"716.0","0.0","716.0","687.0",0,1,1,"90.0",4,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-27,"4601/119/625/4","4601","119","625","4",25603176,"Råvarden 197","råvarden",193,NA,"H0101","5239","Boligblokker",2279884,"Stort frittliggende boligbygg på 2 etg.","Bolig","Bolig","6722625.17","-33836.59"
"2901",8500000,58,1962,1,"Orange",327.92,"Tre","Fritt salg","Frittliggende enebolig",1,"681.1",0,0,0,0,0,0,0,1,"129.0","0.0","129.0","135.0",0,1,1,"129.0",0,0,0,1,0,"Underetasje","Ikke Oppgitt",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-05-06,"4601/166/1455/NA","4601","166","1455","NA",139307305,"Lille Starefossveien 6 B","lille starefossveien",6,"B","U0101","5019","Småhus",2417616,"Enebolig","Bolig","Bolig","6733384.85","-30114.42"
"2903",3990000,33,1987,2,"Orange",252,"Tre","Fritt salg","Tomannsbolig",1,"517.2",0,0,0,0,0,0,0,1,"217.0","0.0","217.0","0.0",0,1,1,"0.0",0,0,0,1,0,"Hovedetasje","Ikke Oppgitt",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-05-13,"4601/45/149/NA","4601","45","149","NA",9459812,"Nordlia 14 A","nordlia",14,"A","H0101","5223","Småhus",2452004,"Tomannsbolig, vertikaldelt","Bolig","Bolig","6725671.34","-30638.47"
"2907",2400000,13,2007,5,"Red",153.52,"Betong","Fritt salg","Blokkleilighet",1,"977.3",0,0,0,0,0,0,0,2,"238.0","0.0","238.0","0.0",0,1,1,"74.0",3,1,1,1,0,"Underetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-24,"4627/4/1185/2","4627","4","1185","2",23002280,"Austre Vardane 42 B","austre vardane",42,"B","U0101","5306","Småhus",2146135,"Enebolig m/hybel/sokkelleil.","Bolig","Bolig","6741784.42","-36914.52"
"2908",3410000,12,2008,4,"Red",134.75,"Betong","Fritt salg","Blokkleilighet",1,"5671.5",1,0,0,0,0,0,0,20,"1985.0","0.0","1985.0","0.0",0,3,3,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-02,"4601/10/818/37","4601","10","818","37",25178416,"Øvre Sædalsvegen 14","øvre sædalsvegen",14,NA,"H0303","5099","Boligblokker",2173346,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728316.05","-29694.38"
"2910",3600000,12,2008,4,"Red",134.75,"Betong","Fritt salg","Blokkleilighet",1,"5671.5",1,0,0,0,0,0,0,20,"1985.0","0.0","1985.0","0.0",0,4,2,"72.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-29,"4601/10/818/41","4601","10","818","41",25178416,"Øvre Sædalsvegen 14","øvre sædalsvegen",14,NA,"H0303","5099","Boligblokker",2392719,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728316.05","-29694.38"
"2913",3350000,12,2008,4,"Red",134.75,"Betong","Fritt salg","Blokkleilighet",1,"5671.5",1,0,0,0,0,0,0,20,"1985.0","0.0","1985.0","0.0",0,2,4,"79.0",3,1,1,1,1,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q3",2020-09-03,"4601/10/818/31","4601","10","818","31",25178416,"Øvre Sædalsvegen 14","øvre sædalsvegen",14,NA,"H0303","5099","Boligblokker",2967129,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6728316.05","-29694.38"
"2919",3250000,130,1890,2,"Red",345.4,"Tre","Fritt salg","Annet",1,"79.6",0,0,0,0,0,0,0,4,"212.0","0.0","212.0","0.0",0,1,1,"0.0",3,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-02,"4601/167/1118/2","4601","167","1118","2",139319257,"Tordenskjolds gate 41","tordenskjolds gate",41,NA,"H0101","5031","Småhus",2172352,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6735106.18","-31668.62"
"2924",1900000,85,1935,1,"Red",432.79,"Mur/tegl","Fritt salg","Frittliggende enebolig",1,"308.9",0,0,0,0,0,0,0,6,"273.0","0.0","273.0","0.0",0,1,1,"45.0",2,1,1,1,0,"Underetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-03-02,"4601/158/351/1","4601","158","351","1",139857712,"Søndre Skogveien 8","søndre skogveien",8,NA,"U0101","5055","Boligblokker",2173515,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6732421.05","-31874.31"
"2926",1850000,85,1935,1,"Red",432.79,"Mur/tegl","Fritt salg","Blokkleilighet",1,"308.9",0,0,0,0,0,0,0,6,"273.0","0.0","273.0","0.0",0,1,2,"35.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q4",2020-11-24,"4601/158/351/2","4601","158","351","2",139857712,"Søndre Skogveien 8","søndre skogveien",8,NA,"U0101","5055","Boligblokker",3382585,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6732421.05","-31874.31"
"2928",2100000,85,1935,1,"Red",432.79,"Mur/tegl","Fritt salg","Blokkleilighet",1,"308.9",0,0,0,0,0,0,0,6,"273.0","0.0","273.0","0.0",0,2,1,"39.0",2,1,1,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q2",2020-06-05,"4601/158/351/5","4601","158","351","5",139857712,"Søndre Skogveien 8","søndre skogveien",8,NA,"U0101","5055","Boligblokker",2551422,"Store sammenbygde boligbygg på 2 etg.","Bolig","Bolig","6732421.05","-31874.31"
"2930",4350000,30,1990,3,"Orange",235.47,"Tre","Fritt salg","Frittliggende enebolig",1,"207.4",0,0,0,0,0,0,0,1,"119.0","0.0","119.0","0.0",0,2,1,"116.0",4,1,2,1,0,"Hovedetasje","Kjøkken",0,"Ikke Oppgitt",0,"Ikke Oppgitt",2020,"2020Q1",2020-03-04,"4601/43/793/NA","4601","43","793","NA",139890450,"Sanddalskollen 79","sanddalskollen",79,NA,"H0201","5225","Småhus",2185208,"Rekkehus","Bolig","Bolig","6726886.69","-30627.13"
"2943",3340000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,1,1,"67.0",3,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-06,"4601/189/435/4","4601","189","435","4",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"G","H0102","5130","Boligblokker",2078228,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
"2944",4840000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,2,1,"88.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q2",2020-04-17,"4601/189/435/10","4601","189","435","10",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"H","H0102","5130","Boligblokker",2344667,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
"2948",4240000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,4,2,"75.0",3,1,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-27,"4601/189/435/31","4601","189","435","31",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"G","H0102","5130","Boligblokker",2031936,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
"2950",2520000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,2,1,"55.0",2,1,1,0,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-03-25,"4601/189/435/18","4601","189","435","18",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"C","H0102","5130","Boligblokker",2267736,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
"2953",5040000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,4,1,"88.0",4,2,2,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-01-27,"4601/189/435/28","4601","189","435","28",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"H","H0102","5130","Boligblokker",2031806,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
"2954",2340000,1,2019,5,"Green",110.51,"Betong","Fritt salg","Blokkleilighet",1,"915.0",1,0,0,0,0,0,0,42,"3310.0","0.0","3310.0","3549.0",0,2,2,"49.0",2,1,1,1,0,"Hovedetasje","Kjøkken",1,"Tilkn. off. vannverk",1,"Offentlig kloakk",2020,"2020Q1",2020-02-12,"4601/189/435/17","4601","189","435","17",300635610,"Myrdalsvegen 48 G","myrdalsvegen",48,"C","H0102","5130","Boligblokker",2101061,"Stort frittliggende boligbygg på 5 etg. el. mer","Bolig","Bolig","6743105.84","-31079.89"
